,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento
0,?,A,8,0,?,S,?,0,?,G,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
1,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim
2,?,A,0,60,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,2.801,385.1,0.0,0,ideal
3,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.801,255.0,269.0,0,ideal
4,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,0,mediano
5,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
6,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.3,152.0,0.0,0,ruim
7,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.699,1320.0,0.0,0,mediano
8,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim
9,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim
10,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.3,1320.0,4880.0,0,ruim
11,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.2,610.0,150.0,0,ruim
12,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.2,609.9,0.0,0,ruim
13,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,1220.0,761.0,0,mediano
14,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,4.0,1320.0,762.0,0,ruim
15,?,A,0,80,T,?,?,0,?,G,?,?,?,?,?,?,?,SHEET,0.8,610.0,4170.0,0,ideal
16,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,1320.1,762.0,0,ruim
17,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.501,1200.1,0.0,0,ideal
18,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,761.0,0,ruim
19,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,610.0,0.0,0,mediano
20,?,S,70,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,mediano
21,?,A,3,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,COIL,0.5,610.0,0.0,0,ideal
22,?,?,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,3.2,1320.0,0.0,0,ideal
23,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8,356.0,4880.0,0,ideal
24,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,900.0,0.0,0,mediano
25,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,500,mediano
26,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,610.0,4880.0,0,mediano
27,?,?,0,45,?,S,?,0,?,E,?,?,?,?,Y,?,?,SHEET,1.4,1320.0,4170.0,0,mediano
28,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.699,1320.0,762.0,0,ruim
29,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,4.0,450.0,0.0,0,ideal
30,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,0.75,1320.0,4880.0,0,mediano
31,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,?,?,COIL,1.6,1220.0,0.0,0,ideal
32,?,M,0,0,?,?,?,350,?,G,?,Y,?,?,?,?,?,COIL,1.399,1320.0,0.0,0,ideal
33,?,A,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.6,1320.0,0.0,0,ideal
34,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.651,20.0,0.0,0,ruim
35,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,1.6,374.9,4880.0,0,ruim
36,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim
37,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
38,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ideal
39,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,0.799,20.0,0.0,0,ideal
40,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,610.0,301.0,0,ruim
41,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim
42,?,A,0,45,?,S,?,0,?,D,?,?,?,Y,?,?,?,SHEET,0.7,1320.0,4880.0,0,ruim
43,?,W,0,0,?,?,?,310,?,G,?,?,B,?,?,?,?,COIL,2.5,1274.9,0.0,500,mediano
44,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
45,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,609.9,762.0,0,ruim
46,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,1320.0,761.0,0,ruim
47,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,150.0,4880.0,0,ruim
48,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
49,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.7,374.9,4880.0,0,mediano
50,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.301,610.0,762.0,0,ruim
51,?,A,0,0,?,?,?,500,?,G,?,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,ideal
52,?,A,0,0,?,S,2.0,0,?,G,?,Y,?,?,?,?,?,SHEET,3.2,1300.0,762.0,0,ruim
53,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.2,610.0,762.0,0,ruim
54,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.2,610.0,4880.0,0,mediano
55,?,A,0,0,?,S,3.0,0,N,F,?,?,B,Y,Y,?,?,SHEET,0.6,1220.0,762.0,0,ruim
56,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.301,610.0,0.0,0,ruim
57,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,?,?,?,SHEET,1.0,610.0,762.0,0,ideal
58,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.301,515.0,610.0,0,mediano
59,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.2,335.0,611.0,0,ideal
60,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,1320.0,762.0,0,ruim
61,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,COIL,0.6,250.0,0.0,0,ideal
62,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.801,610.0,0.0,600,mediano
63,?,R,0,0,?,S,2.0,0,?,E,?,Y,M,?,?,?,?,COIL,3.5,610.0,0.0,600,mediano
64,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,610.0,762.0,0,ruim
65,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.799,1300.0,0.0,0,ruim
66,?,A,4,0,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.5,1130.0,0.0,0,ideal
67,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,1.6,609.9,4880.0,0,ideal
68,?,A,0,0,?,S,3.0,0,N,G,?,?,?,?,?,?,?,COIL,0.601,1320.0,0.0,0,mediano
69,ZS,A,0,70,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,2.0,1250.0,0.0,0,ideal
70,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,1320.0,4880.0,0,ruim
71,?,A,0,45,?,S,?,0,?,E,?,?,?,?,Y,?,?,COIL,0.7,610.0,0.0,0,ruim
72,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,610.0,762.0,0,ruim
73,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.599,610.0,1.0,0,ruim
74,?,A,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,ideal
75,ZS,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,1.6,610.0,4880.0,0,ruim
76,?,K,45,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,3.2,640.0,0.0,600,mediano
77,?,R,0,0,?,S,3.0,0,?,?,?,?,B,?,?,?,?,SHEET,0.8,1320.0,4880.0,0,ruim
78,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,1.6,610.0,0.0,0,ruim
79,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,COIL,1.6,1090.0,0.0,0,ideal
80,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,0.5,610.0,0.0,0,ruim
81,?,A,10,0,?,?,?,0,?,E,?,?,?,?,?,?,?,COIL,1.201,1320.0,0.0,0,ruim
82,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,610.0,762.0,0,ruim
83,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
84,?,K,55,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,1.5,640.0,0.0,0,mediano
85,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,609.9,4880.0,0,ruim
86,?,R,0,0,?,S,3.0,0,?,?,?,?,B,Y,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
