,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento,thick_q,width_q,len_q
0,?,A,8,0,?,S,?,0,?,G,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_01
1,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
2,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
3,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
4,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
5,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
6,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
7,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
8,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
9,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,0.7,1300.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
10,?,A,0,60,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,2.801,385.1,0.0,0,ideal,grupo_thick_06,grupo_width_01,grupo_len_01
11,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8009999999999999,255.0,269.0,0,ideal,grupo_thick_02,grupo_width_01,grupo_len_01
12,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,0,mediano,grupo_thick_04,grupo_width_02,grupo_len_01
13,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
14,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
15,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
16,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
17,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
18,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
19,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
20,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
21,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
22,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
23,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
24,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
25,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
26,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
27,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
28,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
